"Tax Yr","Cat","EE_Rate","EE_AboveUEL","EE_AboveUAP","ER_Rate","ER_AboveUAP","ER_AboveUST","ER_AboveAUST","ER_AboveUEL","ER NIC Rebate","EE NIC Rebate","ER_RebateToST"
"2005","X",0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00
"2006","A",0.11,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2006","B",0.04,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2006","C",0.00,0.00,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2006","D",0.09,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2006","E",0.04,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2006","F",0.09,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2006","G",0.04,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.00,0.00
"2006","J",0.01,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2006","L",0.01,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2006","S",0.01,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2006","X",0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00
"2007","A",0.11,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2007","B",0.04,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2007","C",0.00,0.00,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2007","D",0.09,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2007","E",0.04,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2007","F",0.09,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2007","G",0.04,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.00,0.00
"2007","J",0.01,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2007","L",0.01,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2007","S",0.01,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
