"Tax Yr",Cat,EE_Rate,EE_AboveUEL,EE_AboveUAP,ER_Rate,ER_AboveUAP,ER_AboveUST,ER_AboveAUST,ER_AboveUEL,"ER NIC Rebate","EE NIC Rebate",ER_RebateToST
2011,D,0.104,0.02,0.12,0.101,0.138,0,,0.138,0,0.016,0.037
2011,E,0.0585,0.02,0.0585,0.101,0.138,0,,0.138,0,0,0.037
2011,F,0.104,0.02,0.12,0.124,0.138,0,,0.138,0,0.016,0.014
2011,G,0.0585,0.02,0.0585,0.124,0.138,0,,0.138,0,0,0.014
2011,J,0.02,0.02,0.02,0.138,0.138,0,,0.138,0,0,0
2011,L,0.02,0.02,0.02,0.101,0.138,0,,0.138,0,0.016,0.037
2011,S,0.02,0.02,0.02,0.124,0.138,0,,0.138,0,0.016,0.014
2012,A,0.12,0.02,0.12,0.138,0.138,0,,0.138,0,0,0
2012,B,0.0585,0.02,0.0585,0.138,0.138,0,,0.138,0,0,0
2012,C,0,0,0,0.138,0.138,0,,0.138,0,0,0
2012,D,0.106,0.02,0.12,0.104,0.138,0,,0.138,0,0.014,0.034
2012,E,0.0585,0.02,0.0585,0.104,0.138,0,,0.138,0,0,0.034
2012,J,0.02,0.02,0.02,0.138,0.138,0,,0.138,0,0,0
2012,L,0.02,0.02,0.02,0.104,0.138,0,,0.138,0,0.014,0.034
2013,A,0.12,0.02,0.12,0.138,0.138,0,,0.138,0,0,0
2013,B,0.0585,0.02,0.0585,0.138,0.138,0,,0.138,0,0,0
2013,C,0,0,0,0.138,0.138,0,,0.138,0,0,0
2013,D,0.106,0.02,0.12,0.104,0.138,0,,0.138,0,0.014,0.034
2013,E,0.0585,0.02,0.0585,0.104,0.138,0,,0.138,0,0,0.034
2013,J,0.02,0.02,0.02,0.138,0.138,0,,0.138,0,0,0
2013,L,0.02,0.02,0.02,0.104,0.138,0,,0.138,0,0.014,0.034
2014,A,0.12,0.02,0.12,0.138,0.138,0,,0.138,0,0,0
2014,B,0.0585,0.02,0.0585,0.138,0.138,0,,0.138,0,0,0
2014,C,0,0,0,0.138,0.138,0,,0.138,0,0,0
2014,D,0.106,0.02,0.12,0.104,0.138,0,,0.138,0,0.014,0.034
2014,E,0.0585,0.02,0.0585,0.104,0.138,0,,0.138,0,0,0.034
2014,J,0.02,0.02,0.02,0.138,0.138,0,,0.138,0,0,0
2014,L,0.02,0.02,0.02,0.104,0.138,0,,0.138,0,0.014,0.034
2015,A,0.12,0.02,0.12,0.138,0.138,0,,0.138,0,0,0
2015,B,0.0585,0.02,0.0585,0.138,0.138,0,,0.138,0,0,0
2015,C,0,0,0,0.138,0.138,0,,0.138,0,0,0
2015,D,0.106,0.02,0.12,0.104,0.138,0,,0.138,0,0.014,0.034
2015,E,0.0585,0.02,0.0585,0.104,0.138,0,,0.138,0,0,0.034
2015,I,0.106,0.02,0.12,0,0,0,,0.138,0,0.014,0.034
2015,J,0.02,0.02,0.02,0.138,0.138,0,,0.138,0,0,0
2015,K,0.02,0.02,0.02,0,0,0,,0.138,0,0.014,0.034
2015,L,0.02,0.02,0.02,0.104,0.138,0,,0.138,0,0.014,0.034
2015,M,0.12,0.02,0.12,0,0,0,,0.138,0,0,0
2015,Z,0.02,0.02,0.02,0,0,0,,0.138,0,0,0
2016,A,0.12,0.02,0,0.138,,0,0,0.138,0,0,0
2016,B,0.0585,0.02,0,0.138,,0,0,0.138,0,0,0
2016,C,0,0,0,0.138,,0,0,0.138,0,0,0
2016,E,0.0585,0.02,0,0.104,,0,0,0.138,0,0,0.034
2016,H,0.12,0.02,0,0,0,0,0.138,0.138,0,0,0
2016,J,0.02,0.02,0,0.138,,0,0,0.138,0,0,0
2016,L,0.02,0.02,0,0.104,,0,0,0.138,0,0.014,0.034
2016,M,0.12,0.02,0,0,,0.138,0,0.138,0,0,0
2016,Z,0.02,0.02,0,0,,0.138,0,0.138,0,0,0
2017,A,0.12,0.02,0,0.138,0,0,0,0.138,0,0,0
2017,B,0.0585,0.02,0,0.138,0,0,0,0.138,0,0,0
2017,C,0,0,0,0.138,0,0,0,0.138,0,0,0
2017,H,0.12,0.02,0,0,0,0,0.138,0.138,0,0,0
2017,J,0.02,0.02,0,0.138,0,0,0,0.138,0,0,0
